rank;title;Previous Rank;Revenues ($M);Revenue Change(%);Profits ($M);Profit Change(%);Assets ($M);Mkt Value as of 3/29/18 ($M);Employees;CEO;CEO Title;Sector;Industry;Years on Fortune 500 List;City;State;Latitude;Longitude
139;Penske Automotive Group;142;21389;6,2;613,3;78,9;10541;3817;26;Roger S. Penske;Chairman &  Chief Executive Officer;Retailing;Automotive Retailing, Services;20;Bloomfield Hills;MI;42.583645;-83.2454883
140;Whirlpool;137;21253;2,6;350;-60,6;20038;10824;92;Marc R. Bitzer;President, Chief Executive Officer &  Director;Industrials;Electronics, Electrical Equip.;24;Benton Harbor;MI;42.1167065;-86.4541894
141;Union Pacific;143;2124;6,5;10712;153,1;57806;104261;41992;Lance M. Fritz;Chairman, President &  Chief Executive Officer;Transportation;Railroads;24;Omaha;NE;41.2565369;-95.9345034
142;Southwest Airlines;138;21171;3,7;3488;55,4;2511;33678;5611;Gary C. Kelly;Chairman &  Chief Executive Officer;Transportation;Airlines;24;Dallas;TX;32.7766642;-96.7969879
143;ManpowerGroup;146;21034;7;545,4;22,9;8884;7614;29;Jonas Prising;Chairman &  Chief Executive Officer;Business Services;Temporary Help;24;Milwaukee;WI;43.0389025;-87.9064736
144;Thermo Fisher Scientific;154;20918;14,5;2225;10,1;56669;82952;661;Marc N. Casper;President, Chief Executive Officer &  Director;Technology;Scientific,Photographic and  Control Equipment;16;Waltham;MA;42.3764852;-71.2356113
145;Bristol-Myers Squibb;147;20776;6,9;1007;-77,4;33551;103415;237;Giovanni Caforio;Chairman &  Chief Executive Officer;Health Care;Pharmaceuticals;24;New York;NY;40.7127753;-74.0059728
146;Halliburton;173;2062;29,8;-463;0;25085;41068;55;Jeffrey A. Miller;President, Chief Executive Officer &  Director;Energy;Oil and Gas Equipment, Services;24;Houston;TX;29.7604267;-95.3698028
147;Tenet Healthcare;134;20613;-2,2;-704;0;23385;2452;11198;Ronald A. Rittenmeyer;Chairman &  Chief Executive Officer;Health Care;Health Care: Medical Facilities;24;Dallas;TX;32.7766642;-96.7969879
148;Lear;151;20467;10,3;1313,4;34,7;11946;12453;165;Raymond E. Scott;President, Chief Executive Officer &  Director;Motor Vehicles &  Parts;Motor Vehicles and Parts;24;Southfield;MI;42.4733688;-83.2218731
149;Cummins;159;20428;16,7;999;-28,3;18075;26757;586;N. Thomas Linebarger;Chairman &  Chief Executive Officer;Industrials;Industrial Machinery;24;Columbus;IN;39.2014404;-85.9213796
150;Micron Technology;226;20322;63,9;5089;0;35336;6047;341;Sanjay Mehrotra;President, Chief Executive Officer &  Director;Technology;Semiconductors and Other Electronic Components;21;Boise;ID;43.6150186;-116.2023137
151;Nucor;169;20252;25;1318,7;65,6;15841;19432;251;John J. Ferriola;Chairman, President &  Chief Executive Officer;Materials;Metals;24;Charlotte;NC;35.2270869;-80.8431267
152;Molina Healthcare;156;19883;11,8;-512;-1084,6;8471;4867;20;Joseph M. Zubretsky;President, Chief Executive Officer &  Director;Health Care;Health Care: Insurance and Managed Care;7;Long Beach;CA;33.7700504;-118.1937395
153;Fluor;149;19521;2,5;191,4;-32;9328;8006;56706;David T. Seaton;Chairman &  Chief Executive Officer;Engineering &  Construction;Engineering, Construction;17;Irving;TX;32.8140177;-96.9488945
154;Altria Group;148;19494;0,8;10222;-28,2;43202;118436;83;Howard A. Willard III;Chairman &  Chief Executive Officer;Food, Beverages &  Tobacco;Tobacco;24;Richmond;VA;37.5407246;-77.4360481
155;Paccar;164;19456;14,2;1675,2;221,1;2344;23298;25;Ronald E. Armstrong;Chairman &  Chief Executive Officer;Industrials;Construction and Farm Machinery;24;Bellevue;WA;47.6101497;-122.2015159
156;Hartford Financial Services;153;19228;5,1;-3131;-449,4;22526;18392;164;Christopher J. Swift;Chairman &  Chief Executive Officer;Financials;Insurance: Property and Casualty (Stock);23;Hartford;CT;41.7658043;-72.6733723
157;Kohls;150;19095;2,2;859;54,5;1334;11021;85;Michelle D. Gass;Chairman &  Chief Executive Officer;Retailing;General Merchandisers;21;Menomonee Falls;WI;43.1788967;-88.1173132
158;Western Digital;217;19093;46,9;397;64;2986;27456;67629;Stephen D. Milligan;Chairman &  Chief Executive Officer;Technology;Computers, Office Equipment;15;San Jose;CA;37.3382082;-121.8863286
159;Jabil;152;19063,1;3,9;129,1;-49,2;11096;5035;170000;Mark T. Mondello;Chairman &  Chief Executive Officer;Technology;Semiconductors and Other Electronic Components;17;St. Petersburg;FL;27.7676008;-82.6402915
160;Community Health Systems;130;18477;-13,6;-2459;0;1745;454;86;Wayne T. Smith;Chairman &  Chief Executive Officer;Health Care;Health Care: Medical Facilities;12;Franklin;TN;35.9250637;-86.8688899
161;Visa;187;18358;21,7;6699;11,8;67977;270222;15;Alfred F. Kelly Jr.;Chairman &  Chief Executive Officer;Business Services;Financial Data Services;10;SF;CA;37.7749295;-122.4194155
162;Danaher;144;1833;-7,9;2492,1;-2,4;46649;68385;67;Thomas P. Joyce Jr.;President, Chief Executive Officer &  Director;Health Care;Medical Products and Equipment;20;Leavenworth;WA;47.7510741;-120.7401385
163;Kimberly-Clark;155;18259;0,3;2278;5,2;15151;38553;42;Thomas J. Falk;Chairman &  Chief Executive Officer;Household Products;Household and Personal Products;24;Irving;TX;32.8140177;-96.9488945
164;AECOM;161;18203;4,6;339,4;253,1;14397;5671;87;Michael S. Burke;Chairman &  Chief Executive Officer;Engineering &  Construction;Engineering, Construction;10;Los Angeles;CA;34.0522342;-118.2436849
165;PNC Financial Services;166;18035;9,8;5338;36,8;380768;71323;51632;William S. Demchak;Chairman, President &  Chief Executive Officer;Financials;Commercial Banks;24;Pittsburgh;PA;40.4406248;-79.9958864
166;CenturyLink;160;17656;1,1;1389;121,9;75611;17578;51;Jeffrey K. Storey;President, Chief Executive Officer &  Director;Telecommunications;Telecommunications;9;Monroe;LA;32.5093109;-92.1193012
167;NextEra Energy;170;17195;6,4;5378;84,7;97827;76895;14;James L. Robo;Chairman, President &  Chief Executive Officer;Energy;Utilities: Gas and Electric;24;North Palm Beach;FL;26.8797819;-80.0533743
168;PG& E Corp.;157;17135;-3;1646;18,2;68012;22664;23;Geisha J. Williams;President, Chief Executive Officer &  Director;Energy;Utilities: Gas and Electric;24;SF;CA;37.7749295;-122.4194155
169;Synnex;198;17046;21,2;301,2;28,2;7699;4702;1136;Dennis Polk;President, Chief Executive Officer &  Director;Wholesalers;Wholesalers: Electronics and Office Equipment;12;Fremont;CA;37.5482697;-121.9885719
170;WellCare Health Plans;195;17007;19,5;373,7;54,4;8365;8622;89;Kenneth A. Burdick;Chairman &  Chief Executive Officer;Health Care;Health Care: Insurance and Managed Care;10;Tampa;FL;27.950575;-82.4571776
171;Performance Food Group;171;16762;4,1;96,3;41;3804;3104;14;George L. Holm;President, Chief Executive Officer &  Director;Wholesalers;Wholesalers: Food and Grocery;10;Richmond;VA;37.5407246;-77.4360481
172;Sears Holdings;127;16702;-24,6;-383;0;7262;288;89;Edward S. Lampert;Chairman &  Chief Executive Officer;Retailing;General Merchandisers;24;Hoffman Estates;IL;42.0629915;-88.1227199
173;Synchrony Financial;185;16695;10,4;1935;-14;95808;2549;16;Margaret M. Keane;President, Chief Executive Officer &  Director;Financials;Diversified Financials;2;Stamford;CT;41.0534302;-73.5387341
174;CarMax;174;16637;5,1;627;0,6;16279;11202;24344;William D. Nash;President, Chief Executive Officer &  Director;Retailing;Automotive Retailing, Services;15;Richmond;VA;37.5407246;-77.4360481
175;Bank of New York Mellon;177;16621;6;4090;15,3;371758;51919;52500;Charles W. Scharf;Chairman &  Chief Executive Officer;Financials;Commercial Banks;24;New York City;NY;40.7127753;-74.0059728
176;Freeport-McMoRan;175;16416;4;1817;0;37302;25439;252;Richard C. Adkerson;Vice Chairman, President &  Chief Executive Officer;Energy;Mining, Crude-Oil Production;13;Phoenix;AZ;33.4483771;-112.0740373
177;Genuine Parts;180;16309;6,3;616,8;-10,3;12412;13183;48;Paul D. Donahue;President, Chief Executive Officer &  Director;Wholesalers;Wholesalers: Diversified;24;Atlanta;GA;33.7489954;-84.3879824
178;Emerson Electric;139;16301;-19,6;1518;-7,2;19589;43359;765;David N. Farr;Chairman &  Chief Executive Officer;Industrials;Industrial Machinery;24;St. Louis;MO;38.6270025;-90.1994042
179;DaVita;181;16038;5,5;663,6;-24,6;18948;12001;745;Kent J. Thiry;Chairman &  Chief Executive Officer;Health Care;Health Care: Medical Facilities;12;Denver;CO;39.7392358;-104.990251
180;Supervalu;158;16009;-8,7;650;265,2;358;585;29;Mark Gross;President, Chief Executive Officer &  Director;Food &  Drug Stores;Food and Drug Stores;24;Eden Prairie;MN;44.8546856;-93.470786
181;Gap;178;15855;2,2;848;25,4;7989;12147;135;Arthur L. Peck;President, Chief Executive Officer &  Director;Retailing;Specialty Retailers: Apparel;24;SF;CA;37.7749295;-122.4194155
182;General Mills;165;1562;-5,7;1657,5;-2,4;21813;26716;38;Jeffrey L. Harmening;Chairman &  Chief Executive Officer;Food, Beverages &  Tobacco;Food Consumer Products;24;Minneapolis;MN;44.977753;-93.2650108
183;Nordstrom;188;15478;4,9;437;23,4;8115;8123;76;Blake W. Nordstrom;Co-President &  Director;Retailing;General Merchandisers;24;Seattle;WA;47.6062095;-122.3320708
184;Colgate-Palmolive;182;15454;1,7;2024;-17,1;12676;62607;359;Ian M. Cook;Chairman, President &  Chief Executive Officer;Household Products;Household and Personal Products;24;New York;NY;40.7127753;-74.0059728
185;American Electric Power;167;15425;-5,8;1912,6;213,1;64729;33766;17666;Nicholas K. Akins;Chairman, President &  Chief Executive Officer;Energy;Utilities: Gas and Electric;24;Columbus;OH;39.9611755;-82.9987942
186;XPO Logistics;191;15381;5,2;340,2;393;12602;1221;95;Bradley S. Jacobs;Chairman &  Chief Executive Officer;Transportation;Transportation and Logistics;3;Greenwich;CT;41.0262417;-73.6281964
187;Goodyear Tire & Rubber;184;15377;1,4;346;-72,6;17064;6392;64;Richard J. Kramer;Chairman, President &  Chief Executive Officer;Motor Vehicles &  Parts;Motor Vehicles and Parts;24;Akron;OH;41.0814447;-81.5190053
188;Omnicom Group;179;15274;-0,9;1088,4;-5,2;24931;16734;773;John D. Wren;President, Chief Executive Officer &  Director;Business Services;Advertising, marketing;22;New York;NY;40.7127753;-74.0059728
189;CDW;199;15192;8,7;523;23,2;6957;10717;8726;Thomas E. Richards;Chairman, President &  Chief Executive Officer;Technology;Information Technology Services;14;Lincolnshire;IL;42.1900249;-87.9084039
190;Sherwin-Williams;236;14984;26,4;1772,3;56,5;19958;36899;52695;John G. Morikis;Chairman, President &  Chief Executive Officer;Chemicals;Chemicals;24;Cleveland;OH;41.49932;-81.6943605
191;PPG Industries;183;14967;-1,4;1591;81,4;16538;27824;472;Michael H. McGarry;Chairman &  Chief Executive Officer;Chemicals;Chemicals;24;Pittsburgh;PA;40.4406248;-79.9958864
192;Texas Instruments;206;14961;11,9;3682;2,4;17642;102135;29714;Brian T. Crutcher;Chairman, President &  Chief Executive Officer;Technology;Semiconductors and Other Electronic Components;24;Dallas;TX;32.7766642;-96.7969879
193;C.H. Robinson Worldwide;212;14869;13,1;504,9;-1,7;4236;13153;15074;John P. Wiehoff;Chairman, President &  Chief Executive Officer;Transportation;Transportation and Logistics;17;Eden Prairie;MN;44.8546856;-93.470786
194;WestRock;190;1486;1;708,2;0;25089;16372;448;Steven C. Voorhees;President, Chief Executive Officer &  Director;Materials;Packaging, Containers;7;Atlanta;GA;33.7489954;-84.3879824
195;Cognizant Technology Solutions;205;1481;9,8;1504;-3,2;15221;47338;260;Francisco D'Souza;Chairman &  Chief Executive Officer;Technology;Information Technology Services;8;Teaneck;NJ;40.8932469;-74.0116536
196;Newell Brands;208;14742;11,1;2748,8;420,8;33136;12363;49;Michael B. Polk;Chairman &  Chief Executive Officer;Household Products;Home Equipment, Furnishings;23;Hoboken;NJ;40.7439905;-74.0323626
197;CBS;193;1471;2,3;357;-71,7;20843;19668;14715;Leslie Moonves;Chairman, President &  Chief Executive Officer;Media;Entertainment;24;New York;NY;40.7127753;-74.0059728
198;Envision Healthcare;538;14701;220,4;-228;0;16573;4647;5775;Christopher A. Holden;President, Chief Executive Officer &  Director;Health Care;Health Care: Pharmacy and Other Services;1;Nashville;TN;36.1626638;-86.7816016
199;Monsanto;204;1464;8,4;2260;69,2;21333;51444;219;Hugh Grant;Chairman &  Chief Executive Officer;Chemicals;Chemicals;15;St. Louis;MO;38.6270025;-90.1994042
200;Aramark;192;14604;1,3;373,9;29,9;11006;9725;215;Eric J. Foss;Chairman, President &  Chief Executive Officer;Business Services;Diversified Outsourcing Services;24;Philadelphia;PA;39.9525839;-75.1652215
201;Applied Materials;265;14537;34,3;3434;99,5;19419;58429;184;Gary E. Dickerson;President, Chief Executive Officer &  Director;Technology;Semiconductors and Other Electronic Components;23;Santa Clara;CA;37.3541079;-121.9552356
202;Waste Management;201;14485;6,4;1949;64,9;21829;36372;423;James C. Fish Jr.;President, Chief Executive Officer &  Director;Business Services;Waste Management;20;Houston;TX;29.7604267;-95.3698028
203;DISH Network;186;14391;-4,7;2098,7;44,8;29774;17682;17;W. Erik Carlson;President, Chief Executive Officer &  Director;Telecommunications;Telecommunications;17;Englewood;CO;39.6477653;-104.9877597
204;Illinois Tool Works;202;14314;5,3;1687;-17,1;1678;53142;50;E. Scott Santi;Chairman, President &  Chief Executive Officer;Industrials;Industrial Machinery;24;Glenview;IL;42.0697509;-87.7878408
205;Lincoln National;207;14257;7;2079;74,4;281763;15946;9047;Dennis R. Glass;President, Chief Executive Officer &  Director;Financials;Insurance: Life, Health (stock);24;Wayne;PA;40.0462208;-75.3599105
206;HollyFrontier;274;14251;35,3;805,4;0;10692;865;3522;George J. Damiris;President, Chief Executive Officer &  Director;Energy;Petroleum Refining;11;Dallas;TX;32.7766642;-96.7969879
207;CBRE Group;214;1421;8,7;691,5;20,9;11484;16042;80;Robert E. Sulentic;President, Chief Executive Officer &  Director;Financials;Real estate;11;Los Angeles;CA;34.0522342;-118.2436849
208;Textron;200;14198;3;307;-68,1;1534;15293;37;Scott C. Donnelly;Chairman, President &  Chief Executive Officer;Aerospace &  Defense;Aerospace and Defense;24;Providence;RI;41.8239891;-71.4128343
209;Ross Stores;219;14135;9,9;1362,8;21,9;5722;298;827;Barbara Rentler;Chairman &  Chief Executive Officer;Retailing;Specialty Retailers: Apparel;16;Dublin;CA;37.7021521;-121.9357918
210;Principal Financial;227;14093;13,7;2310,4;75,5;253941;17643;15378;Daniel J. Houston;Chairman, President &  Chief Executive Officer;Financials;Insurance: Life, Health (stock);24;Des Moines;IA;41.6005448;-93.6091064
211;D.R. Horton;232;14091;15,9;1038,4;17,2;12185;1648;7735;David V. Auld;President, Chief Executive Officer &  Director;Engineering &  Construction;Homebuilders;16;Arlington;TX;32.735687;-97.1080656
212;Marsh & McLennan;210;14024;6,2;1492;-15,6;20429;41924;64;Daniel S. Glaser;President, Chief Executive Officer &  Director;Financials;Diversified Financials;24;New York;NY;40.7127753;-74.0059728
213;Devon Energy;231;13949;14,4;898;0;30241;16725;3414;David A. Hager;President, Chief Executive Officer &  Director;Energy;Mining, Crude-Oil Production;17;Oklahoma City;OK;35.4675602;-97.5164276
214;AES;194;1385;-3,1;-1161;0;33112;751;105;Andr?s R. Gluski;President, Chief Executive Officer &  Director;Energy;Utilities: Gas and Electric;18;Arlington;VA;38.8816208;-77.0909809
215;Ecolab;211;13838;5,2;1508,4;22,7;19962;39524;484;Douglas M. Baker Jr.;Chairman &  Chief Executive Officer;Chemicals;Chemicals;16;St Paul;MN;44.9537029;-93.0899578
216;Land O'Lakes;209;1374;3,8;314,2;28,3;9509;0;10;Christopher J. Policinski;President, Chief Executive Officer &  Director;Food, Beverages &  Tobacco;Food Consumer Products;16;Arden Hills;MN;45.0502435;-93.1566112
217;Loews;213;13735;4,8;1164;78;79586;16134;181;James S. Tisch;President, Chief Executive Officer &  Director;Financials;Insurance: Property and Casualty (Stock);24;New York;NY;40.7127753;-74.0059728
218;Kinder Morgan;215;13705;5;183;-74,2;79055;33223;10897;Steven J. Kean;President, Chief Executive Officer &  Director;Energy;Pipelines;15;Houston;TX;29.7604267;-95.3698028
219;FirstEnergy;196;13627;-3,7;-1724;0;42257;16175;15617;Charles E. Jones;President, Chief Executive Officer &  Director;Energy;Utilities: Gas and Electric;23;Akron;OH;41.0814447;-81.5190053
220;Occidental Petroleum;278;13274;27,7;1311;0;42026;49738;11;Vicki A. Hollub;President, Chief Executive Officer &  Director;Energy;Mining, Crude-Oil Production;24;Houston;TX;29.7604267;-95.3698028
221;Viacom;224;13263;6,2;1874;30,3;23698;12919;112;Robert M. Bakish;President, Chief Executive Officer &  Director;Media;Entertainment;13;New York;NY;40.7127753;-74.0059728
222;PayPal Holdings;264;13094;20,8;1795;28,1;40774;91056;187;Daniel H. Schulman;President, Chief Executive Officer &  Director;Business Services;Financial Data Services;3;San Jose;CA;37.3382082;-121.8863286
223;NGL Energy Partners;237;13022;10,9;137;0;632;1332;27;H. Michael Krimbill;Chief Executive Officer &  Director;Energy;Energy;4;Tulsa;OK;36.1539816;-95.992775
224;Celgene;254;13003;15,8;2940;47,1;30141;67102;7467;Mark J. Alles;Chairman &  Chief Executive Officer;Health Care;Pharmaceuticals;7;Summit;NJ;40.7146376;-74.3646122
225;Arconic;228;1296;4,6;-74;0;18718;11124;415;Charles P. Blankenship;Chairman &  Chief Executive Officer;Aerospace &  Defense;Aerospace and Defense;24;New York;NY;40.7127753;-74.0059728
226;Kellogg;216;12923;-0,7;1269;82,9;1635;22532;32944;Steven A. Cahillane;Chairman, President &  Chief Executive Officer;Food, Beverages &  Tobacco;Food Consumer Products;24;Battle Creek;MI;42.3211522;-85.1797142
227;Las Vegas Sands;249;12882;12,9;2806;68;20687;56721;505;Sheldon G. Adelson;Chairman &  Chief Executive Officer;Hotels, Restaurants &  Leisure;Hotels, Casinos, Resorts;9;Las Vegas;NV;36.1699412;-115.1398296
228;Stanley Black & Decker;250;12747;11,7;1226;27;1908;2361;57765;James M. Loree;President, Chief Executive Officer &  Director;Household Products;Home Equipment, Furnishings;11;New Britain;CT;41.6612104;-72.7795419
229;Booking Holdings;268;12681;18;2340,8;9,6;25451;100459;229;Glenn D. Fogel;President, Chief Executive Officer &  Director;Technology;Internet Services and Retailing;6;Norwalk;CT;41.117744;-73.4081575
230;Lennar;260;12646;15,5;810,5;-11,1;18745;18738;9111;Richard Beckwitt;Chief Executive Officer &  Director;Engineering &  Construction;Homebuilders;14;Miami;FL;25.7616798;-80.1917902
231;L Brands;220;12632;0,5;983;-15,1;8149;10655;592;Leslie H. Wexner;Chairman, President &  Chief Executive Officer;Retailing;Specialty Retailers: Apparel;24;Columbus;OH;39.9611755;-82.9987942
